pokedex_number,name,japanese_name,type1,type2,abilities,hp,attack,defense,sp_attack,sp_defense,speed,base_total,classfication,generation,is_legendary,experience_growth,capture_rate,base_egg_steps,base_happiness,height_m,percentage_male,weight_kg,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
97,Hypno,Sleeperスリーパー,psychic,,"['Insomnia', 'Forewarn', 'Inner Focus']",85,73,70,73,115,67,483,Hypnosis Pokémon,1,0,1000000,75,5120,70,1.6,50,75.6,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
98,Krabby,Crabクラブ,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",30,105,90,25,25,50,325,River Crab Pokémon,1,0,1000000,225,5120,70,0.4,50,6.5,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
99,Kingler,Kinglerキングラー,water,,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",55,130,115,50,50,75,475,Pincer Pokémon,1,0,1000000,60,5120,70,1.3,50,60,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
100,Voltorb,Biriridamaビリリダマ,electric,,"['Soundproof', 'Static', 'Aftermath']",40,30,50,55,55,100,330,Ball Pokémon,1,0,1000000,190,5120,70,0.5,,10.4,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
101,Electrode,Marumineマルマイン,electric,,"['Soundproof', 'Static', 'Aftermath']",60,50,70,80,80,150,490,Ball Pokémon,1,0,1000000,60,5120,70,1.2,,66.6,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
102,Exeggcute,Tamatamaタマタマ,grass,psychic,"['Chlorophyll', 'Harvest']",60,40,80,60,45,40,325,Egg Pokémon,1,0,1250000,90,5120,70,0.4,50,2.5,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
103,Exeggutor,Nassyナッシー,grass,psychic,"['Chlorophyll', 'Harvest', 'Frisk', 'Harvest']",95,105,85,125,75,45,530,Coconut Pokémon,1,0,1250000,45,5120,70,,50,,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
104,Cubone,Karakaraカラカラ,ground,,"['Rock Head', 'Lightningrod', 'Battle Armor']",50,50,95,40,50,35,320,Lonely Pokémon,1,0,1000000,190,5120,70,0.4,50,6.5,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
105,Marowak,Garagaraガラガラ,ground,fire,"['Rock Head', 'Lightningrod', 'Battle Armor', 'Cursed Body', 'Lightningrod', 'Rock Head']",60,80,110,50,80,45,425,Bone Keeper Pokémon,1,0,1000000,75,5120,70,,50,,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
106,Hitmonlee,Sawamularサワムラー,fighting,,"['Limber', 'Reckless', 'Unburden']",50,120,53,35,110,87,455,Kicking Pokémon,1,0,1000000,45,6400,70,1.5,100,49.8,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
107,Hitmonchan,Ebiwalarエビワラー,fighting,,"['Keen Eye', 'Iron Fist', 'Inner Focus']",50,105,79,35,110,76,455,Punching Pokémon,1,0,1000000,45,6400,70,1.4,100,50.2,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
108,Lickitung,Beroringaベロリンガ,normal,,"['Own Tempo', 'Oblivious', 'Cloud Nine']",90,55,75,60,75,30,385,Licking Pokémon,1,0,1000000,45,5120,70,1.2,50,65.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
109,Koffing,Dogarsドガース,poison,,['Levitate'],40,65,95,60,45,35,340,Poison Gas Pokémon,1,0,1000000,190,5120,70,0.6,50,1,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
110,Weezing,Matadogasマタドガス,poison,,['Levitate'],65,90,120,85,70,60,490,Poison Gas Pokémon,1,0,1000000,60,5120,70,1.2,50,9.5,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
111,Rhyhorn,Sihornサイホーン,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",80,85,95,30,30,25,345,Spikes Pokémon,1,0,1250000,120,5120,70,1,50,115,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
112,Rhydon,Sidonサイドン,ground,rock,"['Lightningrod', 'Rock Head', 'Reckless']",105,130,120,45,45,40,485,Drill Pokémon,1,0,1250000,60,5120,70,1.9,50,120,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
113,Chansey,Luckyラッキー,normal,,"['Natural Cure', 'Serene Grace', 'Healer']",250,5,5,35,105,50,450,Egg Pokémon,1,0,800000,30,10240,140,1.1,0,34.6,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
114,Tangela,Monjaraモンジャラ,grass,,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",65,55,115,100,40,60,435,Vine Pokémon,1,0,1000000,45,5120,70,1,50,35,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
115,Kangaskhan,Garuraガルーラ,normal,,"['Early Bird', 'Scrappy', 'Inner Focus']",105,125,100,60,100,100,590,Parent Pokémon,1,0,1000000,45,5120,70,2.2,0,80,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
116,Horsea,Tattuタッツー,water,,"['Swift Swim', 'Sniper', 'Damp']",30,40,70,70,25,60,295,Dragon Pokémon,1,0,1000000,225,5120,70,0.4,50,8,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
117,Seadra,Seadraシードラ,water,,"['Poison Point', 'Sniper', 'Damp']",55,65,95,95,45,85,440,Dragon Pokémon,1,0,1000000,75,5120,70,1.2,50,25,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
118,Goldeen,Tosakintoトサキント,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",45,67,60,35,50,63,320,Goldfish Pokémon,1,0,1000000,225,5120,70,0.6,50,15,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
119,Seaking,Azumaoアズマオウ,water,,"['Swift Swim', 'Water Veil', 'Lightningrod']",80,92,65,65,80,68,450,Goldfish Pokémon,1,0,1000000,60,5120,70,1.3,50,39,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
120,Staryu,Hitodemanヒトデマン,water,,"['Illuminate', 'Natural Cure', 'Analytic']",30,45,55,70,55,85,340,Starshape Pokémon,1,0,1250000,225,5120,70,0.8,,34.5,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
121,Starmie,Starmieスターミー,water,psychic,"['Illuminate', 'Natural Cure', 'Analytic']",60,75,85,100,85,115,520,Mysterious Pokémon,1,0,1250000,60,5120,70,1.1,,80,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
122,Mr. Mime,Barrierdバリヤード,psychic,fairy,"['Soundproof', 'Filter', 'Technician']",40,45,65,100,120,90,460,Barrier Pokémon,1,0,1000000,45,6400,70,1.3,50,54.5,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
123,Scyther,Strikeストライク,bug,flying,"['Swarm', 'Technician', 'Steadfast']",70,110,80,55,80,105,500,Mantis Pokémon,1,0,1000000,45,6400,70,1.5,50,56,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
124,Jynx,Rougelaルージュラ,ice,psychic,"['Oblivious', 'Forewarn', 'Dry Skin']",65,50,35,115,95,95,455,Humanshape Pokémon,1,0,1000000,45,6400,70,1.4,0,40.6,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1
125,Electabuzz,Elebooエレブー,electric,,"['Static', 'Vital Spirit']",65,83,57,95,85,105,490,Electric Pokémon,1,0,1000000,45,6400,70,1.1,75.4,30,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
126,Magmar,Booberブーバー,fire,,"['Flame Body', 'Vital Spirit']",65,95,57,100,85,93,495,Spitfire Pokémon,1,0,1000000,45,6400,70,1.3,75.4,44.5,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
127,Pinsir,Kailiosカイロス,bug,,"['Hyper Cutter', 'Mold Breaker', 'Moxie']",65,155,120,65,90,105,600,Stagbeetle Pokémon,1,0,1250000,45,6400,70,1.5,50,55,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
128,Tauros,Kentaurosケンタロス,normal,,"['Intimidate', 'Anger Point', 'Sheer Force']",75,100,95,40,70,110,490,Wild Bull Pokémon,1,0,1250000,45,5120,70,1.4,100,88.4,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
129,Magikarp,Koikingコイキング,water,,"['Swift Swim', 'Rattled']",20,10,55,15,20,80,200,Fish Pokémon,1,0,1250000,255,1280,70,0.9,50,10,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
130,Gyarados,Gyaradosギャラドス,water,flying,"['Intimidate', 'Moxie']",95,155,109,70,130,81,640,Atrocious Pokémon,1,0,1250000,45,1280,70,6.5,50,235,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
131,Lapras,Laplaceラプラス,water,ice,"['Water Absorb', 'Shell Armor', 'Hydration']",130,85,80,85,95,60,535,Transport Pokémon,1,0,1250000,45,10240,70,2.5,50,220,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
132,Ditto,Metamonメタモン,normal,,"['Limber', 'Imposter']",48,48,48,48,48,48,288,Transform Pokémon,1,0,1000000,35,5120,70,0.3,,4,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
133,Eevee,Eievuiイーブイ,normal,,"['Run Away', 'Adaptability', 'Anticipation']",55,55,50,45,65,55,325,Evolution Pokémon,1,0,1000000,45,8960,70,0.3,88.1,6.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
134,Vaporeon,Showersシャワーズ,water,,"['Water Absorb', 'Hydration']",130,65,60,110,95,65,525,Bubble Jet Pokémon,1,0,1000000,45,8960,70,1,88.1,29,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
135,Jolteon,Thundersサンダース,electric,,"['Volt Absorb', 'Quick Feet']",65,65,60,110,95,130,525,Lightning Pokémon,1,0,1000000,45,8960,70,0.8,88.1,24.5,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
136,Flareon,Boosterブースター,fire,,"['Flash Fire', 'Guts']",65,130,60,95,110,65,525,Flame Pokémon,1,0,1000000,45,8960,70,0.9,88.1,25,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
137,Porygon,Porygonポリゴン,normal,,"['Trace', 'Download', 'Analytic']",65,60,70,85,75,40,395,Virtual Pokémon,1,0,1000000,45,5120,70,0.8,,36.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
138,Omanyte,Omniteオムナイト,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",35,40,100,90,55,35,355,Spiral Pokémon,1,0,1000000,45,7680,70,0.4,88.1,7.5,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
139,Omastar,Omstarオムスター,rock,water,"['Swift Swim', 'Shell Armor', 'Weak Armor']",70,60,125,115,70,55,495,Spiral Pokémon,1,0,1000000,45,7680,70,1,88.1,35,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
140,Kabuto,Kabutoカブト,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",30,80,90,55,45,55,355,Shellfish Pokémon,1,0,1000000,45,7680,70,0.5,88.1,11.5,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
141,Kabutops,Kabutopsカブトプス,rock,water,"['Swift Swim', 'Battle Armor', 'Weak Armor']",60,115,105,65,70,80,495,Shellfish Pokémon,1,0,1000000,45,7680,70,1.3,88.1,40.5,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
142,Aerodactyl,Pteraプテラ,rock,flying,"['Rock Head', 'Pressure', 'Unnerve']",80,135,85,70,95,150,615,Fossil Pokémon,1,0,1250000,45,8960,70,1.8,88.1,59,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2
143,Snorlax,Kabigonカビゴン,normal,,"['Immunity', 'Thick Fat', 'Gluttony']",160,110,65,65,110,30,540,Sleeping Pokémon,1,0,1250000,25,10240,70,2.1,88.1,460,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
144,Articuno,Freezerフリーザー,ice,flying,"['Pressure', 'Snow Cloak']",90,85,100,95,125,85,580,Freeze Pokémon,1,1,1250000,3,20480,35,1.7,,55.4,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
145,Zapdos,Thunderサンダー,electric,flying,"['Pressure', 'Static']",90,90,85,125,90,100,580,Electric Pokémon,1,1,1250000,3,20480,35,1.6,,52.6,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1
146,Moltres,Fireファイヤー,fire,flying,"['Pressure', 'Flame Body']",90,100,90,125,85,90,580,Flame Pokémon,1,1,1250000,3,20480,35,2,,60,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
147,Dratini,Miniryuミニリュウ,dragon,,"['Shed Skin', 'Marvel Scale']",41,64,45,50,50,50,300,Dragon Pokémon,1,0,1250000,45,10240,35,1.8,50,3.3,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
148,Dragonair,Hakuryuハクリュー,dragon,,"['Shed Skin', 'Marvel Scale']",61,84,65,70,70,70,420,Dragon Pokémon,1,0,1250000,45,10240,35,4,50,16.5,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
149,Dragonite,Kairyuカイリュー,dragon,flying,"['Inner Focus', 'Multiscale']",91,134,95,100,100,80,600,Dragon Pokémon,1,0,1250000,45,10240,35,2.2,50,210,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5
150,Mewtwo,Mewtwoミュウツー,psychic,,"['Pressure', 'Unnerve']",106,150,70,194,120,140,780,Genetic Pokémon,1,1,1250000,3,30720,0,2,,122,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
151,Mew,Mewミュウ,psychic,,['Synchronize'],100,100,100,100,100,100,600,New Species Pokémon,1,1,1059860,45,30720,100,0.4,,4,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
152,Chikorita,Chicoritaチコリータ,grass,,"['Overgrow', 'Leaf Guard']",45,49,65,49,65,45,318,Leaf Pokémon,2,0,1059860,45,5120,70,0.9,88.1,6.4,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
153,Bayleef,Bayleafベイリーフ,grass,,"['Overgrow', 'Leaf Guard']",60,62,80,63,80,60,405,Leaf Pokémon,2,0,1059860,45,5120,70,1.2,88.1,15.8,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
154,Meganium,Meganiumメガニウム,grass,,"['Overgrow', 'Leaf Guard']",80,82,100,83,100,80,525,Herb Pokémon,2,0,1059860,45,5120,70,1.8,88.1,100.5,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
155,Cyndaquil,Hinoarashiヒノアラシ,fire,,"['Blaze', 'Flash Fire']",39,52,43,60,50,65,309,Fire Mouse Pokémon,2,0,1059860,45,5120,70,0.5,88.1,7.9,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
156,Quilava,Magmarashiマグマラシ,fire,,"['Blaze', 'Flash Fire']",58,64,58,80,65,80,405,Volcano Pokémon,2,0,1059860,45,5120,70,0.9,88.1,19,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
157,Typhlosion,Bakphoonバクフーン,fire,,"['Blaze', 'Flash Fire']",78,84,78,109,85,100,534,Volcano Pokémon,2,0,1059860,45,5120,70,1.7,88.1,79.5,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
158,Totodile,Waninokoワニノコ,water,,"['Torrent', 'Sheer Force']",50,65,64,44,48,43,314,Big Jaw Pokémon,2,0,1059860,45,5120,70,0.6,88.1,9.5,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
159,Croconaw,Alligatesアリゲイツ,water,,"['Torrent', 'Sheer Force']",65,80,80,59,63,58,405,Big Jaw Pokémon,2,0,1059860,45,5120,70,1.1,88.1,25,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
160,Feraligatr,Ordileオーダイル,water,,"['Torrent', 'Sheer Force']",85,105,100,79,83,78,530,Big Jaw Pokémon,2,0,1059860,45,5120,70,2.3,88.1,88.8,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
161,Sentret,Otachiオタチ,normal,,"['Run Away', 'Keen Eye', 'Frisk']",35,46,34,35,45,20,215,Scout Pokémon,2,0,1000000,255,3840,70,0.8,50,6,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
162,Furret,Ootachiオオタチ,normal,,"['Run Away', 'Keen Eye', 'Frisk']",85,76,64,45,55,90,415,Long Body Pokémon,2,0,1000000,90,3840,70,1.8,50,32.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
163,Hoothoot,Hohoホーホー,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",60,30,30,36,56,50,262,Owl Pokémon,2,0,1000000,255,3840,70,0.7,50,21.2,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
164,Noctowl,Yorunozukuヨルノズク,normal,flying,"['Insomnia', 'Keen Eye', 'Tinted Lens']",100,50,50,86,96,70,452,Owl Pokémon,2,0,1000000,90,3840,70,1.6,50,40.8,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
165,Ledyba,Redibaレディバ,bug,flying,"['Swarm', 'Early Bird', 'Rattled']",40,20,30,40,80,55,265,Five Star Pokémon,2,0,800000,255,3840,70,1,50,10.8,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
166,Ledian,Redianレディアン,bug,flying,"['Swarm', 'Early Bird', 'Iron Fist']",55,35,50,55,110,85,390,Five Star Pokémon,2,0,800000,90,3840,70,1.4,50,35.6,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
167,Spinarak,Itomaruイトマル,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",40,60,40,40,40,30,250,String Spit Pokémon,2,0,800000,255,3840,70,0.5,50,8.5,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
168,Ariados,Ariadosアリアドス,bug,poison,"['Swarm', 'Insomnia', 'Sniper']",70,90,70,60,70,40,400,Long Leg Pokémon,2,0,800000,90,3840,70,1.1,50,33.5,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
169,Crobat,Crobatクロバット,poison,flying,"['Inner Focus', 'Infiltrator']",85,90,80,70,80,130,535,Bat Pokémon,2,0,1000000,90,3840,70,1.8,50,75,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
170,Chinchou,Chonchieチョンチー,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",75,38,38,56,56,67,330,Angler Pokémon,2,0,1250000,190,5120,70,0.5,50,12,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
171,Lanturn,Lanternランターン,water,electric,"['Volt Absorb', 'Illuminate', 'Water Absorb']",125,58,58,76,76,67,460,Light Pokémon,2,0,1250000,75,5120,70,1.2,50,22.5,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
172,Pichu,Pichuピチュー,electric,,"['Static', 'Lightningrod']",20,40,15,35,35,60,205,Tiny Mouse Pokémon,2,0,1000000,190,2560,70,0.3,50,2,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
173,Cleffa,Pyピィ,fairy,,"['Cute Charm', 'Magic Guard', 'Friend Guard']",50,25,28,45,55,15,218,Star Shape Pokémon,2,0,800000,150,2560,140,0.3,24.6,3,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
174,Igglybuff,Pupurinププリン,normal,fairy,"['Cute Charm', 'Competitive', 'Friend Guard']",90,30,15,40,20,15,210,Balloon Pokémon,2,0,800000,170,2560,70,0.3,24.6,1,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
175,Togepi,Togepyトゲピー,fairy,,"['Hustle', 'Serene Grace', 'Super Luck']",35,20,65,40,65,20,245,Spike Ball Pokémon,2,0,800000,190,2560,70,0.3,88.1,1.5,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
176,Togetic,Togechickトゲチック,fairy,flying,"['Hustle', 'Serene Grace', 'Super Luck']",55,40,85,80,105,40,405,Happiness Pokémon,2,0,800000,75,2560,70,0.6,88.1,3.2,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1
177,Natu,Natyネイティ,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",40,50,45,70,45,70,320,Little Bird Pokémon,2,0,1000000,190,5120,70,0.2,50,2,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
178,Xatu,Natioネイティオ,psychic,flying,"['Synchronize', 'Early Bird', 'Magic Bounce']",65,75,70,95,70,95,470,Mystic Pokémon,2,0,1000000,75,5120,70,1.5,50,15,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
179,Mareep,Merriepメリープ,electric,,"['Static', 'Plus']",55,40,40,65,45,35,280,Wool Pokémon,2,0,1059860,235,5120,70,0.6,50,7.8,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
180,Flaaffy,Mokokoモココ,electric,,"['Static', 'Plus']",70,55,55,80,60,45,365,Wool Pokémon,2,0,1059860,120,5120,70,0.8,50,13.3,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
181,Ampharos,Denryuデンリュウ,electric,,"['Static', 'Plus']",90,95,105,165,110,45,610,Light Pokémon,2,0,1059860,45,5120,70,1.4,50,61.5,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
182,Bellossom,Kireihanaキレイハナ,grass,,"['Chlorophyll', 'Healer']",75,80,95,90,100,50,490,Flower Pokémon,2,0,1059860,45,5120,70,0.4,50,5.8,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
183,Marill,Marilマリル,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",70,20,50,20,50,40,250,Aquamouse Pokémon,2,0,800000,190,2560,70,0.4,50,8.5,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5
184,Azumarill,Marilliマリルリ,water,fairy,"['Thick Fat', 'Huge Power', 'Sap Sipper']",100,50,80,60,80,50,420,Aquarabbit Pokémon,2,0,800000,75,2560,70,0.8,50,28.5,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5
185,Sudowoodo,Usokkieウソッキー,rock,,"['Sturdy', 'Rock Head', 'Rattled']",70,100,115,30,65,30,410,Imitation Pokémon,2,0,1000000,65,5120,70,1.2,50,38,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
186,Politoed,Nyorotonoニョロトノ,water,,"['Water Absorb', 'Damp', 'Drizzle']",90,75,75,90,100,70,500,Frog Pokémon,2,0,1059860,45,5120,70,1.1,50,33.9,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
187,Hoppip,Haneccoハネッコ,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",35,35,40,35,55,50,250,Cottonweed Pokémon,2,0,1059860,255,5120,70,0.4,50,0.5,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
188,Skiploom,Popoccoポポッコ,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",55,45,50,45,65,80,340,Cottonweed Pokémon,2,0,1059860,120,5120,70,0.6,50,1,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
189,Jumpluff,Wataccoワタッコ,grass,flying,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",75,55,70,55,95,110,460,Cottonweed Pokémon,2,0,1059860,45,5120,70,0.8,50,3,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
190,Aipom,Eipamエイパム,normal,,"['Run Away', 'Pickup', 'Skill Link']",55,70,55,40,55,85,360,Long Tail Pokémon,2,0,800000,45,5120,70,0.8,50,11.5,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
191,Sunkern,Himanutsヒマナッツ,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",30,30,30,30,30,30,180,Seed Pokémon,2,0,1059860,235,5120,70,0.3,50,1.8,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
192,Sunflora,Kimawariキマワリ,grass,,"['Chlorophyll', 'Solar Power', 'Early Bird']",75,75,55,105,85,30,425,Sun Pokémon,2,0,1059860,120,5120,70,0.8,50,8.5,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
193,Yanma,Yanyanmaヤンヤンマ,bug,flying,"['Speed Boost', 'Compoundeyes', 'Frisk']",65,65,45,75,45,95,390,Clear Wing Pokémon,2,0,1000000,75,5120,70,1.2,50,38,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
194,Wooper,Upahウパー,water,ground,"['Damp', 'Water Absorb', 'Unaware']",55,45,45,25,25,15,210,Water Fish Pokémon,2,0,1000000,255,5120,70,0.4,50,8.5,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
195,Quagsire,Nuohヌオー,water,ground,"['Damp', 'Water Absorb', 'Unaware']",95,85,85,65,65,35,430,Water Fish Pokémon,2,0,1000000,90,5120,70,1.4,50,75,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
196,Espeon,Eifieエーフィ,psychic,,"['Synchronize', 'Magic Bounce']",65,65,60,130,95,110,525,Sun Pokémon,2,0,1000000,45,8960,70,0.9,88.1,26.5,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
